Initiative Name,Link,Description,City,Past/Present Projects,Category
Infrastructure WIFI,https://tech.sfgov.org/services/infrastructureandoperations/,"Improving performance, increasing resiliency, and facilitating the current and future demands of City operations through thoughtful investments in infrastructure, network and data storage.",San Francisco,Present,WIFI
JUSTIS,https://tech.sfgov.org/services/justis/,"Delivering integrated data and technology to criminal justice agencies throughout San Francisco. The Justice Tracking Information System (""JUS.T.I.S."") program will integrate all City and County of San Francisco (""CCSF"") criminal justice agencies' case management systems and replace a 35+ year old mainframe CABLE CMS applications system. It will allow public safety departments to gather and share information with each other automatically through a centralized hub, expedite individual department processes and will result in a more efficient and effective criminal justice information system. The departments include (1) Mayor's Office, (2) City Administrator, (3) Adult Probation, (4) District Attorney, (5) Department of Emergency Management, (6) Juvenile Probation, (7) Police, (8) Public Defender, (9) Sheriff, (10) Status of Women, (11) San Francisco Superior Court, and (12) Department of Technology (non-voting member). The JUS.T.I.S. Governance Council was established by Administrative Code Section 2A.85 to provide policy direction and oversight. The City Administrator's Office is the executive sponsor of the program and the Department of Technology provides technical support.",San Francisco,Past,Criminal Justice
Crime,https://data.sfgov.org/Public-Safety/Map-of-Police-Department-Incident-Reports-2018-to-/jq29-s5wp,Map of Police Department Incident Reports: 2018 to Present. ,San Francisco,Past,Crime / Police
Living Innovation Zones,https://www.innovation.sfgov.org/past-projects,"The Living Innovation Zones (LIZ) project aimed to enhance the public realm with innovation, simplify the permitting process for projects in public space, and support innovators by providing real-world demonstration opportunities. LIZ are temporary installations on Market Street, the City’s cultural, civic and economic spine. The program is structured to seed cross-disciplinary collaborations that result in place-based experiences. LIZs can serve as opportunities for testing new ideas, projects, and technologies. They are intended as enhancements to the public realm, encouraging people to connect with each other and their city. For more information, visit the Living Innovation Zones website. MOCI partners in this project include: Planning Department, Department of Public Works, San Francisco Arts Commission, Exploratorium, Yerba Buena Community Benefit District, and Gehl Architects.",San Francisco,Past,City Planning
SF Open Law,https://github.com/SFMOCI/openlaw,"Open Law makes the City’s laws easier to navigate, understand, and build applications from. Following on our landmark Open Data Policy, the laws of San Francisco are released in technologist-friendly formats that can power new applications that enhance understanding, improve access and lead to new insights about the law. Open Law is the first, necessary step to making these kinds of applications. We hope you join us and use the resources curated here to engage in the growing Open Law community.",San Francisco,Past,Law
Affordable Housing Portal,https://housing.sfgov.org/,"Affordable housing portal, where you can enter the affordable housing lottery.",San Francisco,Past,Housing
Business Portal,https://businessportal.sfgov.org/,"The San Francisco Business Portal – our City’s primary online business resource. With comprehensive information and tailored tools, the Portal helps you easily navigate the steps to start, manage, and grow a business, quickly learn what it takes to be compliant, and obtain resources along the way. Ready to get started? Find the permits, licenses, requirements, and guidelines you need now.",San Francisco,Past,Business
Advanced Manufacturing Initiative,https://www.innovation.sfgov.org/past-projects,"In 2015, the Mayor’s Office of Civic Innovation, the Office of Economic and Workforce Development, and SFMade engaged in a one-year public-private partnership to define the advanced manufacturing ecosystem in the city and to develop strategies to support it. Advanced manufacturing is manufacturing that uses automation, sensing, and other digital technologies to increase efficiency and precision.A 24-person task force—the Advanced Manufacturing Action Team—made up of industry leaders and experts from the public sector, guided the project. Released on Manufacturing Day, October 7th 2016, Strengthening the Advanced Manufacturing Sector in San Francisco represents the culmination of this project. The report presents a set of concrete strategies and tools to expand and support the Strengthening the Advanced Manufacturing Sector in San FranciscoA 24-person task force, the Advanced Manufacturing Action Team, made up of industry leaders and experts from the public sector, guided the project. Released on Manufacturing Day, October 7th, 2016, local advanced manufacturing ecosystem and cultivate a new workforce opportunity in this sector. ",San Francisco,Past,Training
Open Data,https://datasf.org/opendata/,Data Sharing and Architecture,San Francisco,Past,Open Data
Cybersecurity,https://tech.sfgov.org/services/cybersecurity/,"Securing the City's infrastructure, network, and data by establishing strong policies and practices while integrating superior cybersecurity tools.",San Francisco,Present,Cybersecurity
